title,source,url,publishedAt
リンパ節の腫れ 急増・急拡大なら痛みなしでも要注意,"{'id': 'f8654b22267d8a5ede791a50df2f744b', 'name': '日本経済新聞', 'url': 'https://www.nikkei.com'}",https://www.nikkei.com/article/DGXZQOUD019U00R00C26A4000000/,2026-04-16T20:00:00Z
ダイエット中のジャンクフード動画は食欲を抑制する,"{'id': 'a2afa7dbf7208429171070d85c38d1ae', 'name': 'ナゾロジー', 'url': 'https://nazology.kusuguru.co.jp'}",https://nazology.kusuguru.co.jp/archives/194157,2026-04-16T11:02:04Z
主婦が知っておくべき血糖値を上げない超甘い果物,"{'id': 'd7d7a490cd816637ad5008f0ca1f5422', 'name': 'Laodong.vn', 'url': 'https://ja.laodong.vn'}",https://ja.laodong.vn/chuyen-nha-minh/loai-qua-sieu-ngot-khong-gay-tang-duong-huyet-ba-noi-tro-nen-biet-1686524.ldo,2026-04-16T11:00:00Z
ビンロン省で髄膜炎菌ワクチン接種者数が30%増加,"{'id': 'd7d7a490cd816637ad5008f0ca1f5422', 'name': 'Laodong.vn', 'url': 'https://ja.laodong.vn'}",https://ja.laodong.vn/y-te/luong-nguoi-tiem-vaccine-nao-mo-cau-tang-30-o-vinh-long-1686272.ldo,2026-04-16T10:01:29Z
65歳未満で発症の「若年性認知症」、リスクを上げる“危険因子”は何か？,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/news/news-202603n1040/,2026-04-16T08:13:34Z
赤い光でピンポイントに「リン含有プロドラッグ」を放出する技術を開発〜金ナノクラスターを活用した、光によるがん治療へ向けた新たな一歩〜,"{'id': 'd062e6bc8df476300bd722d34bd21d5e', 'name': '河北新報オンライン', 'url': 'https://kahoku.news'}",https://kahoku.news/release/dpr133163.html,2026-04-16T05:21:09Z
脳の若返りで認知症モデルマウスの機能回復,"{'id': '59d1f937977f22652dfcb3629dfef247', 'name': 'riken.jp', 'url': 'https://www.riken.jp'}",https://www.riken.jp/press/2026/20260416_1/index.html,2026-04-16T05:04:05Z
子宮頸がんの原因となるウイルスの根絶に向けた新知見 HPVワクチン単回接種の有効性・安全性検証、男女接種拡大へ,"{'id': '925f66507ae38867242df7ce69b9794f', 'name': 'newscast.jp', 'url': 'https://newscast.jp'}",https://newscast.jp/news/4925827,2026-04-16T05:00:00Z
２週間お試しチャレンジ！ 短鎖脂肪酸に着目した腸活オールインワン「キンプリート」。腸活部３名の体調変化を発表,"{'id': '293230e6bfc40fe17cbf960febecebcd', 'name': 'FYTTE', 'url': 'https://fytte.jp'}",https://fytte.jp/news/healthcare/226341/,2026-04-16T02:00:09Z
薬の飲み忘れよさらば。体内に「生きた薬局」を埋め込む技術|au Webポータル,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/3/7/32_7_r_20260416_1776307738677162,2026-04-16T02:00:00Z
鍼治療×高濃度ビタミンC点滴による新しい花粉症治療,"{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000002.000176670.html,2026-04-16T01:00:02Z
